121,MAHEPC,INE215D01010,147.75,20
122,COLPAL,INE259A01022,2569.1,20
123,NRBBEARING,INE349A01021,344.15,20
124,ROSSARI,INE02A801020,796.45,20
125,SGBJUN30,IN0020220045,6237.19,10
126,SHRIRAMPPS,INE217L01019,127.55,20
127,SGBOCT25IV,IN0020170067,6298.95,10
128,IVP,INE043C01018,237.85,100
129,SHAKTIPUMP,INE908D01010,1478.3,23.06
130,GANESHHOUC,INE460C01014,737.7,21.44
131,FMCGIETF,INF109KC1R48,569.98,20
132,DMART,INE192R01011,3792.7,20
133,CORDSCABLE,INE792I01017,141.8,21.67
134,AARVEEDEN,INE273D01019,30.25,22.59
135,KAYA,INE587G01015,355.6,20
136,SANOFI,INE058A01010,8663.65,20
137,SULA,INE142Q01026,663.3,20
138,BANKETF,INF769K01KR3,459.88,20
139,ABSLLIQUID,INF209KB18T9,999.99,10
140,TPLPLASTEH,INE413G01022,58.45,22.81
141,INDUSTOWER,INE121J01017,221.95,20
142,MOLOWVOL,INF247L01BL0,33.61,20
143,RICOAUTO,INE209B01025,101.8,20
144,UCOBANK,INE691A01018,46.5,20
145,IRIS,INE864K01010,134.75,20.16
146,DOMS,INE321T01012,1404.55,20
147,JUNIORBEES,INF732E01045,587.7,6
148,KFINTECH,INE138Y01010,620.7,20
149,FORTIS,INE061F01013,431.9,20
150,LAMBODHARA,INE112F01022,199,25.42
151,SOUTHWEST,INE980Y01015,170.45,20
152,BERGEPAINT,INE463A01038,565.15,20
153,OIL,INE274J01014,426.5,20
154,SCHNEIDER,INE839M01018,472,20
155,ITC,INE154A01025,441.55,9
156,LICNETFGSC,INF767K01MV5,24.83,10
157,AARVI,INE754X01016,150.15,22.8
158,ORIENTBELL,INE607D01018,374.45,20
159,EMAMILTD,INE548C01032,499.85,20
160,ZUARIIND,INE217A01012,290.75,20.62
161,SPLIL,INE978G01016,73.55,20.12
162,AHL,INE00ZE01026,326.65,20
163,CONTROLPR,INE663B01015,1006.5,20
164,EBBETF0431,INF754K01LE1,1187.5,20
165,IMFA,INE919H01018,657.4,20
166,PRIMESECU,INE032B01021,177.95,20
167,L&TFH,INE498L01015,173.2,20
168,PFS,INE560K01014,62.2,24.58
169,3MINDIA,INE470A01017,34408.35,20
170,CONFIPET,INE552D01024,85.25,20
171,GUJGASLTD,INE844O01030,581.3,20
172,SETF10GILT,INF200KA1JT1,224.14,10
173,WHIRLPOOL,INE716A01013,1348.65,20
174,SOTL,INE035D01020,417.4,20
175,CONSUMBEES,INF204KA1LD7,105.51,20
176,VIDHIING,INE632C01026,409.85,20
177,BBTCL,INE01EE01011,262.65,20
178,ADVENZYMES,INE837H01020,380.7,20
179,AXSENSEX,INF846K010Q0,72.36,6
180,VTL,INE825A01020,427.8,20
181,MAXESTATES,INE03EI01018,291.85,20
182,ICICIB22,INF109KB15Y7,95.89,20
183,JYOTHYLAB,INE668F01031,515.15,20
184,MIRZAINT,INE771A01026,58.55,100
185,INDIANB,INE562A01011,498.85,20
186,MANKIND,INE634S01028,1999.95,20
187,SARDAEN,INE385C01021,250.4,20
188,LAOPALA,INE059D01020,367.5,20
189,GMDCLTD,INE131A01031,458,23.96
190,GHCLTEXTIL,INE0PA801013,80.05,20
191,SESHAPAPER,INE630A01024,345.2,20
192,ASTRAL,INE006I01046,1830.4,20
193,TINPLATE,INE422C01014,430.5,100
194,SONACOMS,INE073K01018,618.2,20
195,HAVELLS,INE176B01034,1294.4,20
196,INTELLECT,INE306R01017,900.75,20
197,MAITHANALL,INE683C01011,1094.8,20
198,OPTIEMUS,INE350C01017,300.2,23.09
199,SAFARI,INE429E01023,2031.9,20
200,KKCL,INE401H01017,766.4,20
201,SRGHFL,INE559N01010,279.85,20
202,SAHYADRI,INE280H01015,440.9,20
203,BALPHARMA,INE083D01012,126.25,20
204,PFIZER,INE182A01018,4323,20
205,SADHNANIQ,INE888C01040,85.65,20
206,MADRASFERT,INE414A01015,114.85,22.85
207,RESPONIND,INE688D01026,299.8,20.12
208,MCX,INE745G01035,3414.05,20
209,DRREDDY,INE089A01023,6121.15,9
210,BHAGCHEM,INE414D01019,1433.25,20
211,VASWANI,INE590L01019,32.95,23.98
212,DREDGECORP,INE506A01018,794.85,100
213,CARERATING,INE752H01013,1030.9,20
214,TVTODAY,INE038F01029,250.1,20
215,PGEL,INE457L01011,1930.75,20
216,OSWALGREEN,INE143A01010,41.75,22.09
217,ARVIND,INE034A01011,315,20
218,APCOTEXIND,INE116A01032,480.45,20
219,DCMNVL,INE08KP01019,193.15,20
220,DCBBANK,INE503A01015,138.35,20
221,RACE,INE084Q01012,365.45,20
222,RRKABEL,INE777K01022,1433.35,20
223,JSWINFRA,INE880J01026,215,20
224,RADIANTCMS,INE855R01021,89.95,20
225,DSPITETF,INF740KA1SX1,36.95,20
226,BIOCON,INE376G01013,268.4,20
227,BIRLACORPN,INE340A01012,1532.85,20
228,MAYURUNIQ,INE040D01038,568.2,20
229,CHEMCON,INE03YM01018,274.35,20
230,VADILALIND,INE694D01016,3098.7,20
231,DCXINDIA,INE0KL801015,344.6,20
232,DSPSENXETF,INF740KA1SZ6,72.52,8.12
233,SIRCA,INE792Z01011,381.7,20
234,ANDHRAPAP,INE435A01028,621.1,20
235,ALMONDZ,INE326B01027,125.35,100
236,GRMOVER,INE192H01020,203.55,20
237,PIIND,INE603J01030,3372.65,20
238,INDUSINDBK,INE095A01012,1534.05,11.75
239,STERTOOLS,INE334A01023,378.6,20
240,TATAPOWER,INE245A01021,389.75,20
241,NAHARINDUS,INE289A01011,138.9,20
242,BANG,INE863I01016,55.5,100
243,FILATEX,INE816B01035,61.95,20
244,BRITANNIA,INE216A01030,5198.4,9
245,MSTCLTD,INE255X01014,1060.85,22.95
246,INDRAMEDCO,INE681B01017,188.8,100
247,AXISILVER,INF846K011K1,73.23,20
248,IOLCP,INE485C01011,443.15,20
249,HDFCMOMENT,INF179KC1HV6,29.08,20
250,SDL26BEES,INF204KC1022,118.21,20
251,MARSHALL,INE00SZ01018,44.5,21.77
252,HNDFDS,INE254N01026,541.4,20
253,SGBNOV258,IN0020170109,6235,10
254,SGBOCT27VI,IN0020190388,6213.8,10
255,ORISSAMINE,INE725E01024,7426.4,21.96
256,BPCL,INE029A01011,502.35,10.14
257,ROTO,INE535D01029,431.6,20
258,SGBDE30III,IN0020220110,6313.5,10
259,GULPOLY,INE255D01024,203.3,20
260,ABB,INE117A01022,4671.6,20
261,APTUS,INE852O01025,374.65,20
262,SBC,INE04AK01028,27.95,22.72
263,NITINSPIN,INE229H01012,361.8,20
264,GOLDBEES,INF204KB17I5,53.35,20
265,KOTAKPSUBK,INF373I01023,624.29,20
266,SGBSEP24,IN0020160043,6231,10
267,GEECEE,INE916G01016,279,20
268,ALPHAGEO,INE137C01018,367.25,20
269,CYBERTECH,INE214A01019,187.8,21.05
270,SOLARA,INE624Z01016,384.3,20
271,MOM50,INF247L01536,220.1,6.18
272,SHALBY,INE597J01018,307.75,20
273,CEATLTD,INE482A01020,2650.5,20
274,MORARJEE,INE161G01027,29,100
275,NSLNISP,INE0NNS01018,69.65,20
276,SGBOCT25V,IN0020170075,6320,10
277,MRF,INE883A01011,142577.4,20
278,APOLLOPIPE,INE126J01016,682.15,20
279,UTIBANKETF,INF789F1AUV1,46.68,20
280,SGBJUN28,IN0020200104,6242.16,10
281,VALIANTORG,INE565V01010,485.85,20
282,SYNGENE,INE398R01022,750.5,20
283,INFOBEAN,INE344S01016,418.5,20
284,INOXINDIA,INE616N01034,915.6,20
285,ACC,INE012A01025,2544.3,20
