Index,symbol,company_Name,macro,sector,industry,basic_Industry, last_Price , total_Market_Cap , free_float
268,BLUECOAST,Blue Coast Hotels Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts, 5.50 , 701.17 , 273.45 
1546,SHYAMTEL,Shyam Telecom Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors, 9.85 ," 1,110.10 ", -   
510,EUROTEXIND,Eurotex Industries and Exports Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products, 12.45 ," 1,089.36 ", 294.13 
1786,UMESLTD,Usha Martin Education & Solutions Limited,Consumer Discretionary,Consumer Services,Other Consumer Services,E-Learning, 5.95 ," 1,571.74 ", 943.04 
1728,TIJARIA,Tijaria Polypipes Limited,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial, 6.50 ," 1,860.73 "," 1,209.47 "
1557,SILLYMONKS,Silly Monks Entertainment Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Media & Entertainment, 18.80 ," 1,919.72 ", 844.68 
1772,TVVISION,TV Vision Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production, 4.20 ," 1,627.27 "," 1,025.18 "
1833,VIJIFIN,Viji Finance Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC), 2.30 ," 1,897.50 "," 1,005.67 "
1820,VCL,Vaxtex Cotfab Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels, 1.45 ," 2,664.41 "," 1,811.80 "
1881,WINSOME,Winsome Yarns Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products, 3.95 ," 2,792.94 "," 1,703.69 "
1555,SILGO,Silgo Retail Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches, 33.00 ," 3,389.10 "," 1,592.88 "
1878,WILLAMAGOR,Williamson Magor & Company Limited,Financial Services,Financial Services,Finance,Investment Company, 34.80 ," 3,812.81 "," 1,448.87 "
674,HEADSUP,Heads UP Ventures Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Trading - Textile Products, 15.95 ," 3,522.18 "," 2,359.86 "
664,HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts, 3.05 ," 4,682.84 "," 2,481.91 "
1840,VINNY,Vinny Overseas Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels, 3.85 ," 4,400.12 ", -   
1850,VIVIDHA,Visagar Polytex Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels, 1.45 ," 4,244.16 "," 3,989.51 "
1644,SUPERSPIN,Super Spinning Mills Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products, 8.15 ," 4,482.50 ", -   
1512,SGL,STL Global Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products, 18.30 ," 4,939.34 "," 1,629.98 "
917,KHANDSE,Khandwala Securities Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied, 28.50 ," 4,347.33 "," 2,217.14 "
540,FMNL,Future Market Networks Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services, 8.85 ," 5,092.68 "," 1,782.44 "
1471,SANGINITA,Sanginita Chemicals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals, 30.05 ," 5,188.94 "," 2,075.58 "
946,KRIDHANINF,Kridhan Infra Limited,Industrials,Construction,Construction,Civil Construction, 4.20 ," 3,980.73 "," 2,109.79 "
907,KEEPLEARN,DSJ Keep Learning Limited,Consumer Discretionary,Consumer Services,Other Consumer Services,Education, 6.70 ," 5,868.40 ", -   
1714,TFL,Transwarranty Finance Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC), 11.50 ," 5,612.22 "," 1,515.30 "
380,CYBERMEDIA,Cyber Media (India) Limited,Consumer Discretionary,Media Entertainment & Publication,Media,Electronic Media, 35.50 ," 5,561.87 "," 2,113.51 "
1839,VINEETLAB,Vineet Laboratories Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals, 72.40 ," 6,674.56 "," 4,071.48 "
1419,ROML,Raj Oil Mills Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil, 50.45 ," 7,561.79 "," 1,890.45 "
850,JISLDVREQS,Jain Irrigation Systems Limited,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial, 36.90 ," 7,119.60 "," 4,983.72 "
1584,SOMATEX,Soma Textiles & Industries Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products, 19.35 ," 6,391.89 ", -   
675,HECPROJECT,HEC Infra Projects Limited,Industrials,Construction,Construction,Civil Construction, 81.10 ," 8,222.05 ", -   
1709,TERASOFT,Tera Software Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services, 63.80 ," 7,982.58 "," 4,150.94 "
1183,NIBL,NRB Industrial Bearings Limited,Industrials,Capital Goods,Industrial Products,Abrasives & Bearings, 40.30 ," 9,764.95 "," 2,441.24 "
1529,SHIVAMILLS,Shiva Mills Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products, 107.55 ," 9,294.26 "," 2,323.57 "
1027,MALUPAPER,Malu Paper Mills Limited,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products, 60.95 ," 10,397.61 "," 3,119.28 "
1464,SAMPANN,Sampann Utpadan India Limited,Industrials,Capital Goods,Industrial Products,Rubber, 28.45 ," 11,553.55 "," 7,394.27 "
1498,SECMARK,SecMark Consultancy Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting, 106.00 ," 11,005.05 "," 2,751.26 "
1903,ZENITHSTL,Zenith Steel Pipes & Industries Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products, 6.65 ," 9,461.65 ", -   
1742,TOKYOPLAST,Tokyo Plast International Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plastic Products - Consumer, 117.00 ," 11,116.64 "," 3,890.82 "
1818,VASWANI,Vaswani Industries Limited,Commodities,Metals & Mining,Ferrous Metals,Sponge Iron, 30.65 ," 9,195.00 "," 3,861.90 "
1892,YAARI,Yaari Digital Integrated Services Limited,Services,Services,Commercial Services & Supplies,Diversified Commercial Services, 11.50 ," 11,550.86 "," 8,201.11 "
1585,SOMICONVEY,Somi Conveyor Beltings Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products, 98.40 ," 11,591.18 "," 4,752.38 "
1533,SHRADHA,Shradha Infraprojects Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects, 69.00 ," 13,972.08 "," 3,493.02 "
1559,SIMBHALS,Simbhaoli Sugars Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar, 29.50 ," 12,177.31 "," 5,723.34 "
1795,UNIVASTU,Univastu India Limited,Industrials,Construction,Construction,Civil Construction, 118.50 ," 13,467.05 "," 3,501.43 "
616,GOYALALUM,Goyal Aluminiums Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors, 10.05 ," 14,344.64 ", -   
1882,WIPL,The Western India Plywoods Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates, 180.00 ," 15,277.21 "," 7,944.15 "
1213,OBCL,Orissa Bengal Carrier Limited,Services,Services,Transport Services,Logistics Solution Provider, 62.95 ," 13,271.62 "," 4,114.20 "
440,DJML,DJ Mediaprint & Logistics Limited,Services,Services,Transport Services,Logistics Solution Provider, 150.65 ," 16,312.14 "," 7,177.34 "
1587,SONAMLTD,SONAM LIMITED,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics, 74.50 ," 14,911.92 "," 3,877.10 "
1794,UNITEDTEA,The United Nilgiri Tea Estates Company Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee, 325.00 ," 16,238.84 "," 7,957.03 "
719,HPIL,Hindprakash Industries Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments, 146.20 ," 15,240.05 "," 3,810.01 "
590,GLOBALVECT,Global Vectra Helicorp Limited,Services,Services,Transport Services,Airline, 125.00 ," 17,500.00 "," 4,375.00 "
1785,UMANGDAIRY,Umang Dairies Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products, 85.00 ," 18,702.72 "," 4,114.60 "
1890,XELPMOC,Xelpmoc Design And Tech Limited,Information Technology,Information Technology,IT - Software,Software Products, 131.00 ," 19,163.22 "," 8,815.08 "
1815,VARDMNPOLY,Vardhman Polytex Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products, 67.85 ," 18,516.91 "," 5,925.41 "
1793,UNITEDPOLY,United Polyfab Gujarat Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products, 98.55 ," 20,647.75 "," 4,129.55 "
1199,NOIDATOLL,Noida Toll Bridge Company Limited,Services,Services,Transport Infrastructure,Road Assets - Toll Annuity Hybrid-Annuity, 11.60 ," 21,598.62 ", -   
1017,MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,Financial Services,Financial Services,Finance,Other Financial Services, 142.60 ," 20,178.04 "," 7,264.10 "
1413,RKEC,RKEC Projects Limited,Industrials,Construction,Construction,Civil Construction, 85.70 ," 20,559.94 "," 6,167.98 "
861,JOCIL,Jocil Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals, 258.75 ," 22,979.98 "," 8,732.39 "
1191,NIRAJ,Niraj Cement Structurals Limited,Industrials,Construction,Construction,Civil Construction, 54.45 ," 21,864.56 "," 3,935.62 "
1828,VETO,Veto Switchgears And Cables Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics, 122.95 ," 23,501.84 "," 12,455.97 "
1763,TTL,T T Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products, 105.25 ," 22,626.70 "," 8,371.88 "
823,IVP,IVP Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals, 236.80 ," 24,452.59 "," 6,846.73 "
1711,TEXMOPIPES,Texmo Pipes and Products Limited,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial, 81.00 ," 23,647.95 "," 13,242.85 "
799,INVENTURE,Inventure Growth & Securities Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied, 2.85 ," 23,940.00 "," 17,715.60 "
1751,TREJHARA,TREJHARA SOLUTIONS LIMITED,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting, 188.75 ," 27,399.51 "," 15,343.73 "
460,DTIL,Dhunseri Tea & Industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee, 232.00 ," 24,377.23 "," 7,556.94 "
1871,WELINV,Welspun Investments and Commercials Limited,Financial Services,Financial Services,Finance,Investment Company, 700.00 ," 25,581.33 "," 6,395.33 "
759,INDBANK,Indbank Merchant Banking Services Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied, 43.20 ," 19,171.38 "," 6,326.56 "
1784,UMAEXPORTS,Uma Exports Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors, 60.65 ," 20,505.66 "," 5,536.53 "
1427,RPPL,Rajshree Polypack Limited,Industrials,Capital Goods,Industrial Products,Packaging, 270.00 ," 30,912.30 "," 9,273.69 "
292,BYKE,The Byke Hospitality Ltd,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts, 64.10 ," 25,702.69 ", -   
1085,MHLXMIRU,Mahalaxmi Rubtech Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products, 294.70 ," 31,297.95 "," 10,641.30 "
1754,TRF,TRF Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products, 243.80 ," 26,828.76 "," 17,438.69 "
1847,VISESHINFO,Visesh Infotecnics Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services, 0.75 ," 28,308.27 "," 27,742.11 "
1732,TIPSFILMS,Tips Films Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,Film Production Distribution & Exhibition, 730.00 ," 31,557.07 "," 7,889.27 "
1451,SAH,Sah Polymers Limited,Industrials,Capital Goods,Industrial Products,Packaging, 117.00 ," 30,181.32 "," 12,072.53 "
1165,NECCLTD,North Eastern Carrying Corporation Limited,Services,Services,Transport Services,Logistics Solution Provider, 29.20 ," 27,751.39 "," 13,043.15 "
1708,TEMBO,Tembo Global Industries Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products, 287.00 ," 31,867.75 "," 14,021.81 "
1845,VIRINCHI,Virinchi Limited,Information Technology,Information Technology,IT - Software,Software Products, 38.30 ," 35,025.20 "," 20,314.61 "
1365,RAJTV,Raj Television Network Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production, 70.50 ," 36,598.91 "," 2,195.93 "
1849,VISHWARAJ,Vishwaraj Sugar Industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar, 16.60 ," 31,171.48 "," 20,573.18 "
1580,SOFTTECH,Softtech Engineers Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting, 284.30 ," 36,444.82 "," 17,129.06 "
1077,MEGASTAR,Megastar Foods Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products, 362.50 ," 36,263.41 "," 11,604.29 "
991,LORDSCHLO,Lords Chloro Alkali Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals, 139.70 ," 35,139.94 "," 8,784.99 "
1800,URAVI,Uravi T and Wedge Lamps Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments, 284.45 ," 31,289.50 "," 8,448.17 "
1909,ZODIACLOTH,Zodiac Clothing Company Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels, 131.00 ," 34,051.77 "," 9,534.50 "
348,COASTCORP,Coastal Corporation Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Seafood, 298.50 ," 39,961.71 "," 19,980.85 "
1842,VIPCLOTHNG,VIP Clothing Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels, 45.65 ," 37,705.31 "," 18,475.60 "
1613,STARPAPER,Star Paper Mills Limited,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products, 254.15 ," 39,668.62 "," 19,834.31 "
697,HINDMOTORS,Hindustan Motors Limited,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles, 18.05 ," 37,663.00 "," 25,610.84 "
1437,RUCHIRA,Ruchira Papers Limited,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products, 147.35 ," 43,976.58 "," 13,632.74 "
706,HITECHCORP,Hitech Corporation Limited,Industrials,Capital Goods,Industrial Products,Packaging, 251.70 ," 43,231.24 "," 10,807.81 "
1868,WEL,Wonder Electricals Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances, 338.50 ," 45,361.71 "," 12,701.28 "
1100,MODISONLTD,MODISON LIMITED,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment, 127.00 ," 41,211.50 "," 19,781.52 "
1445,SADBHAV,Sadbhav Engineering Limited,Industrials,Construction,Construction,Civil Construction, 21.25 ," 36,458.80 "," 22,604.45 "
1397,REMSONSIND,Remsons Industries Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments, 803.60 ," 45,912.54 ", -   
939,KOTHARIPRO,Kothari Products Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors, 155.45 ," 46,392.29 "," 11,598.07 "
743,IFBAGRO,IFB Agro Industries Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries, 485.00 ," 45,430.49 "," 9,086.10 "
180,AVG,AVG Logistics Limited,Services,Services,Transport Services,Logistics Solution Provider, 423.00 ," 49,809.40 "," 15,939.01 "
1076,MEGASOFT,Megasoft Limited,Telecommunication,Telecommunication,Telecom - Services,Other Telecom Services, 58.20 ," 42,934.16 ", -   
340,CINELINE,Cineline India Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects, 149.25 ," 51,142.65 "," 15,342.80 "
1865,WEALTH,Wealth First Portfolio Managers Limited,Financial Services,Financial Services,Finance,Other Financial Services, 472.10 ," 50,302.26 "," 13,078.59 "
1544,SHYAMCENT,Shyam Century Ferrous Limited,Commodities,Metals & Mining,Ferrous Metals,Ferro & Silica Manganese, 25.65 ," 54,422.37 "," 17,959.38 "
1824,VENUSREM,Venus Remedies Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals, 374.55 ," 50,066.05 "," 28,537.65 "
1748,TPLPLASTEH,TPL Plastech Limited,Industrials,Capital Goods,Industrial Products,Packaging, 60.80 ," 47,425.82 "," 10,433.68 "
1907,ZIMLAB,Zim Laboratories Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals, 109.75 ," 53,476.58 "," 18,716.80 "
1133,MUTHOOTCAP,Muthoot Capital Services Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC), 334.85 ," 55,074.56 "," 19,826.84 "
1619,STEL,Stel Holdings Limited,Financial Services,Financial Services,Finance,Investment Company, 297.00 ," 54,812.55 "," 19,184.39 "
1880,WINDMACHIN,Windsor Machines Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products, 78.00 ," 50,646.80 "," 20,765.19 "
1143,NAHARPOLY,Nahar Poly Films Limited,Industrials,Capital Goods,Industrial Products,Packaging, 231.65 ," 56,958.08 "," 14,809.10 "
1696,TCLCONS,Tantia Constructions Limited,Industrials,Construction,Construction,Civil Construction, 32.80 ," 50,840.00 ", -   
1528,SHIVAMAUTO,Shivam Autotech Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments, 36.50 ," 44,611.11 "," 11,152.78 "
228,BBTCL,B&B Triplewall Containers Limited,Industrials,Capital Goods,Industrial Products,Packaging, 268.00 ," 54,970.12 "," 15,941.34 "
1834,VIKASECO,Vikas EcoTech Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals, 4.25 ," 54,755.13 "," 50,922.27 "
1095,MKPL,M K Proteins Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil, 48.70 ," 60,935.39 "," 15,233.85 "
1457,SAKUMA,Sakuma Exports Limited,Services,Services,Commercial Services & Supplies,Trading & Distributors, 24.25 ," 56,880.66 "," 21,045.84 "
694,HINDCOMPOS,Hindustan Composites Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments, 439.00 ," 64,835.91 "," 14,912.26 "
188,AXITA,Axita Cotton Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products, 27.00 ," 70,437.60 "," 21,131.28 "
1887,WSI,W S Industries (I) Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products, 116.00 ," 54,533.44 "," 20,177.37 "
1091,MIRCELECTR,MIRC Electronics Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics, 17.45 ," 40,301.23 "," 17,732.54 "
244,BHAGERIA,Bhageria Industries Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments, 154.50 ," 67,430.26 "," 18,880.47 "
1215,OCCL,Oriental Carbon & Chemicals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals, 888.00 ," 88,712.02 "," 39,920.41 "
1105,MOLDTECH,Mold-Tek Technologies Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services, 273.00 ," 77,507.60 "," 37,978.72 "
444,DMCC,DMCC SPECIALITY CHEMICALS LIMITED,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals, 316.00 ," 78,810.19 "," 36,252.69 "
828,JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals, 386.00 ," 101,663.88 "," 27,449.25 "
484,ELIN,Elin Electronics Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances, 167.00 ," 82,930.90 "," 55,563.70 "
1913,ZUARIIND,ZUARI INDUSTRIES LIMITED,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar, 293.60 ," 87,437.56 "," 37,598.15 "
1435,RUBYMILLS,The Ruby Mills Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products, 238.00 ," 79,587.20 "," 19,896.80 "
722,HTMEDIA,HT Media Limited,Consumer Discretionary,Media Entertainment & Publication,Media,Print Media, 30.05 ," 69,940.87 "," 20,982.26 "
1717,THEINVEST,The Investment Trust Of India Limited,Financial Services,Financial Services,Finance,Other Financial Services, 163.00 ," 85,154.81 "," 23,843.35 "
1812,VALIANTLAB,Valiant Laboratories Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals, 192.15 ," 83,489.18 "," 15,028.05 "
476,EIMCOELECO,Eimco Elecon (India) Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products," 1,400.05 "," 80,760.27 "," 20,190.07 "
1760,TRU,TruCap Finance Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC), 76.90 ," 89,895.62 "," 37,756.16 "
1030,MANAKSIA,Manaksia Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products, 131.50 ," 86,177.28 "," 21,544.32 "
1693,TBZ,Tribhovandas Bhimji Zaveri Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches, 131.25 ," 87,583.94 "," 22,771.82 "
1897,YUKEN,Yuken India Limited,Industrials,Capital Goods,Industrial Products,Compressors Pumps & Diesel Engines, 695.50 ," 90,415.00 "," 38,878.45 "
1503,SEMAC,SEMAC CONSULTANTS LIMITED,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products," 2,444.80 "," 74,980.62 "," 20,244.77 "
1901,ZEEMEDIA,Zee Media Corporation Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production, 14.05 ," 87,872.73 "," 65,904.55 "
1852,VLSFINANCE,VLS Finance Limited,Financial Services,Financial Services,Finance,Investment Company, 214.50 ," 74,637.40 "," 36,572.33 "
730,ICEMAKE,Ice Make Refrigeration Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products, 591.00 ," 93,258.23 "," 23,314.56 "
776,INDOTECH,Indo Tech Transformers Limited,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment, 860.00 ," 91,332.00 "," 22,833.00 "
1779,UGARSUGAR,The Ugar Sugar Works Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar, 79.25 ," 89,156.25 "," 49,035.94 "
1912,ZUARI,Zuari Agro Chemicals Limited,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers, 245.50 ," 103,252.40 "," 35,105.82 "
1863,WALCHANNAG,Walchandnagar Industries Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products, 174.95 ," 80,500.30 "," 51,520.19 "
1739,TNPETRO,Tamilnadu PetroProducts Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals, 101.50 ," 91,321.05 "," 54,792.63 "
1879,WINDLAS,Windlas Biotech Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals, 483.00 ," 100,457.12 "," 37,169.13 "
1010,MACPOWER,Macpower CNC Machines Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products, 791.00 ," 79,132.91 "," 21,365.88 "
1789,UNIENTER,Uniphos Enterprises Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Trading - Chemicals, 159.00 ," 110,577.90 "," 28,750.25 "
786,INFOBEAN,InfoBeans Technologies Limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting, 415.00 ," 100,838.48 "," 26,218.01 "
1749,TRACXN,Tracxn Technologies Limited,Services,Services,Commercial Services & Supplies,Data Processing Services, 113.55 ," 117,270.89 "," 46,908.35 "
1655,SUTLEJTEX,Sutlej Textiles and Industries Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products, 61.80 ," 101,246.09 "," 27,336.44 "
723,HUBTOWN,Hubtown Limited,Consumer Discretionary,Realty,Realty,Residential Commercial Projects, 123.00 ," 93,893.12 "," 51,641.22 "
1403,RGL,Renaissance Global Limited,Consumer Discretionary,Consumer Durables,Consumer Durables,Gems Jewellery And Watches, 116.85 ," 112,329.58 "," 31,452.28 "
1830,VHL,Vardhman Holdings Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)," 3,275.00 "," 104,269.71 "," 25,024.73 "
1836,VIMTALABS,Vimta Labs Limited,Healthcare,Healthcare,Healthcare Services,Healthcare Research Analytics & Technology, 429.00 ," 95,089.42 "," 31,379.51 "
1577,SMSPHARMA,SMS Pharmaceuticals Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals, 125.00 ," 105,815.04 "," 37,035.26 "
1431,RSWM,RSWM Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products, 210.15 ," 98,984.19 "," 43,553.04 "
1846,VISAKAIND,Visaka Industries Limited,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products, 126.05 ," 108,913.20 "," 55,545.73 "
1826,VERTOZ,Vertoz Advertising Limited,Consumer Discretionary,Media Entertainment & Publication,Media,Advertising & Media Agencies, 795.00 ," 126,195.88 "," 41,644.64 "
1415,RML,Rane (Madras) Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments, 815.00 ," 132,561.93 "," 35,791.72 "
1807,V2RETAIL,V2 Retail Limited,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail, 340.70 ," 117,845.88 "," 51,852.19 "
1911,ZOTA,Zota Health Care LImited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals, 491.00 ," 126,910.38 "," 35,534.91 "
684,HEUBACHIND,Heubach Colorants India Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments, 540.00 ," 124,641.71 "," 56,088.77 "
1813,VALIANTORG,Valiant Organics Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals, 490.10 ," 135,145.32 "," 58,112.49 "
1573,SMCGLOBAL,SMC Global Securities Limited,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied, 106.60 ," 111,610.20 "," 35,715.26 "
1620,STERTOOLS,Sterling Tools Limited,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments, 385.50 ," 138,873.33 "," 40,273.27 "
1616,STEELCAS,Steelcast Limited,Industrials,Capital Goods,Industrial Products,Castings & Forgings, 684.75 ," 138,593.40 "," 74,840.44 "
1480,SASTASUNDR,Sastasundar Ventures Limited,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider, 412.30 ," 131,154.69 "," 30,165.58 "
428,DIACABS,Diamond Power Infrastructure Limited,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment, 232.75 ," 122,652.51 ", -   
1752,TREL,Transindia Real Estate Limited,Services,Services,Transport Services,Logistics Solution Provider, 55.85 ," 137,220.95 "," 41,166.29 "
1581,SOLARA,Solara Active Pharma Sciences Limited,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals, 392.95 ," 141,447.33 "," 70,723.67 "
1032,MANALIPETC,Manali Petrochemicals Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals, 76.75 ," 132,009.41 "," 66,004.70 "
