Index,symbol,company_Name,macro,sector,industry,basic_Industry, last_Price , total_Market_Cap , free_float
100,ANDHRAPAP,ANDHRA PAPER LIMITED,Commodities,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products, 603.00 ," 239,813.34 "," 64,749.60 "
8,63MOONS,63 moons technologies limited,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting, 413.00 ," 190,304.36 "," 102,764.35 "
833,JASH,Jash Engineering Limited,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products," 1,750.00 "," 210,524.27 "," 86,314.95 "
705,HITECH,Hi-Tech Pipes Limited,Industrials,Capital Goods,Industrial Products,Iron & Steel Products, 151.50 ," 207,609.54 "," 85,119.91 "
643,GTPL,GTPL Hathway Limited,Consumer Discretionary,Media Entertainment & Publication,Entertainment,TV Broadcasting & Software Production, 199.80 ," 224,701.15 "," 53,928.28 "
42,ADFFOODS,ADF Foods Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods, 196.40 ," 215,772.10 "," 73,362.51 "
294,CAMLINFINE,Camlin Fine Sciences Limited,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals, 128.60 ," 215,346.88 "," 105,519.97 "
240,BFINVEST,BF Investment Limited,Financial Services,Financial Services,Finance,Holding Company, 514.35 ," 193,743.44 "," 42,623.56 "
1096,MMFL,MM Forgings Limited,Industrials,Capital Goods,Industrial Products,Castings & Forgings, 923.95 ," 223,048.92 "," 98,141.53 "
129,ARMANFIN,Arman Financial Services Limited,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)," 2,339.00 "," 228,926.02 "," 135,066.35 "
554,GANECOS,Ganesha Ecosphere Limited,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products," 1,020.00 "," 222,659.85 "," 122,462.92 "
516,EXPLEOSOL,Expleo Solutions Limited,Information Technology,Information Technology,IT - Services,IT Enabled Services," 1,410.90 "," 218,968.00 "," 63,500.72 "
592,GLOBUSSPR,Globus Spirits Limited,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries, 813.00 ," 234,325.29 "," 114,819.39 "
457,DREDGECORP,Dredging Corporation of India Limited,Services,Services,Engineering Services,Dredging, 816.00 ," 228,480.00 "," 61,689.60 "
951,KRSNAA,Krsnaa Diagnostics Limited,Healthcare,Healthcare,Healthcare Services,Healthcare Service Provider, 680.00 ," 219,570.39 "," 120,763.71 "
