Sr. No.,Company name,ISIN,BSE Symbol,BSE 6 month Avg Total Market Cap in (Rs. Crs.),NSE Symbol,NSE 6 month Avg Total Market Cap (Rs. Crs.),MSEI Symbol,MSEI 6 month Avg Total Market Cap in (Rs Crs.),Average of All Exchanges (Rs. Cr.),"Categorization as per SEBI Circular dated Oct 6, 2017"
2847,BURNPUR CEMENT LIMITED,INE817H01014,BURNPUR,47.91,BURNPUR,47.8928,,,47.9014,Small Cap
2848,EIGHTY JEWELLERS LIMITED,INE0KSN01014,EIGHTY,47.85,,,,,47.85,Small Cap
2849,"ADDI INDUSTRIES LTD.,",INE757C01021,ADDIND,47.78,,,,,47.78,Small Cap
2850,ASHIRWAD STEELS & INDUSTRIES  LTD.,INE338C01012,ASHSI,47.51,,,,,47.51,Small Cap
2851,"WIRES & FABRIKS (SA) LTD.,",INE469D01013,WIREFABR,47.46,,,,,47.46,Small Cap
2852,VIVO BIO TECH LTD.,INE380K01017,VIVOBIOT,47.39,,,,,47.39,Small Cap
2853,N.G.INDUSTRIES LTD.,INE825C01018,NGIND,47.33,,,,,47.33,Small Cap
2854,"THACKER & CO. LTD.,",INE077P01034,THACKER,47.3,,,,,47.3,Small Cap
2855,TEXEL INDUSTRIES LTD.,INE594V01028,TEXELIN,47.28,,,,,47.28,Small Cap
2856,ASHIKA CREDIT CAPITAL LTD.,INE094B01013,ASHIKA,47.27,,,,,47.27,Small Cap
2857,MADHUVEER COM 18 NETWORK LIMITED,INE312M01016,MADHUVEER,47.05,,,,,47.05,Small Cap
2858,"MODIPON LTD.,",INE170C01019,MODIPON,46.88,,,,,46.88,Small Cap
2859,GARMENT MANTRA LIFESTYLE LIMITED,INE653S01028,GARMNTMNTR,46.87,,,,,46.87,Small Cap
2860,LAKHANI INDIA LTD.,INE935C01015,LAKHANI,46.82,,,,,46.82,Small Cap
2861,FUTURE SUPPLY CHAIN SOLUTIONS LIMITED,INE935Q01015,FSC,47.05,FSC,46.4582,,,46.7541,Small Cap
2862,AREX INDUSTRIES LTD.,INE480H01011,AREXMIS,46.51,,,,,46.51,Small Cap
2863,MPIL CORPORATION LIMITED,INE844C01027,MPILCORPL,46.48,,,,,46.48,Small Cap
2864,RAW EDGE INDUSTRIAL SOLUTIONS LIMITED,INE960Z01014,RAWEDGE,46.47,,,,,46.47,Small Cap
2865,CEETA INDUSTRIES LTD.,INE760J01012,CEETAIN,46.34,,,,,46.34,Small Cap
2866,PACE E-COMMERCE VENTURES LIMITED,INE0N1L01018,PACE,46.34,,,,,46.34,Small Cap
2867,SADHNA BROADCAST LTD,INE994R01028,SADHNA,46.29,,,SADHNA,46.2878591963709,46.2889295981855,Small Cap
2868,SKP SECURITIES LTD.,INE709B01016,SKPSEC,46.23,,,,,46.23,Small Cap
2869,APOORVA LEASING FINANCE & INVESTMENT COMPANY LIMITED,INE217S01014,APOORVA,46.19,,,,,46.19,Small Cap
2870,ARSS INFRASTRUCTURE PROJECTS LIMITED,INE267I01010,ARSSINFRA,46.31,ARSSINFRA,45.9408,,,46.1254,Small Cap
2871,VMS INDUSTRIES LIMITED,INE932K01015,VMS,46.09,,,,,46.09,Small Cap
2872,PUNJAB COMMUNICATIONS LIMITED,INE609A01010,PUNJCOMMU,46,,,,,46,Small Cap
2873,"G.V. FILMS  LTD.,",INE395B01048,GVFILM,45.89,,,,,45.89,Small Cap
2874,NIRMITEE ROBOTICS INDIA LIMITED,INE0CPQ01010,NIRMITEE,45.87,,,,,45.87,Small Cap
2875,COSPOWER ENGINEERING LIMITED,INE0CQB01010,COSPOWER,45.86,,,,,45.86,Small Cap
2876,SALEM ERODE INVESTMENTS LTD.,INE894E01028,SALEM,45.85,,,,,45.85,Small Cap
2877,YOGI LIMITED,INE290E01011,YOGI,45.79,,,,,45.79,Small Cap
2878,DILIGENT MEDIA CORPORATION LIMITED,INE016M01021,DNAMEDIA,45.55,DNAMEDIA,45.4078,,,45.4789,Small Cap
2879,UJAAS ENERGY LIMITED,INE899L01022,UJAAS,45.46,,,,,45.46,Small Cap
2880,CHANDRA PRABHU INTERNATIONAL LTD.,INE368D01025,CHANDRAP,45.43,,,,,45.43,Small Cap
2881,CARGOSOL LOGISTICS LIMITED,INE0KZM01011,CARGOSOL,45.39,,,,,45.39,Small Cap
2882,ANJANI SYNTHETICS LIMITED,INE364D01032,ANJANI,45.35,,,,,45.35,Small Cap
2883,KISAN MOULDINGS LTD.,INE017C01012,KISAN,45.34,,,,,45.34,Small Cap
2884,MADHUCON PROJECTS LTD.,INE378D01032,MADHUCON,45.27,MADHUCON,45.2411,,,45.25555,Small Cap
2885,VIVANZA BIOSCIENCES LIMITED,INE984E01035,VIVANZA,45.25,,,,,45.25,Small Cap
2886,SOUTHERN MAGNESIUM AND CHEMICALS LT,INE308N01012,SOUTHMG,45.24,,,,,45.24,Small Cap
2887,RAVI KUMAR DISTILLERIES LIMITED,INE722J01012,RKDL,45.35,RKDL,45.121,,,45.2355,Small Cap
2888,VANTAGE KNOWLEDGE ACADEMY LIMITED,INE427T01017,VKAL,45.18,,,,,45.18,Small Cap
2889,ARCHIDPLY DECOR LIMITED,INE0CHO01012,ADL,44.69,ADL,45.503,,,45.0965,Small Cap
2890,SUPER SPINNING MILLS LTD.,INE662A01027,SUPERSPIN,44.92,SUPERSPIN,44.805,,,44.8625,Small Cap
2891,"H.P. COTTON TEXTILE MILLS LTD.,",INE950C01014,HPCOTTON,44.85,,,,,44.85,Small Cap
2892,KEMISTAR CORPORATION LIMITED,INE971L01029,KEMISTAR,44.85,,,,,44.85,Small Cap
2893,PEARL POLYMERS LTD.,INE844A01013,PEARLPOLY,44.87,PEARLPOLY,44.8278,,,44.8489,Small Cap
2894,GLOBAL LONGLIFE HOSPITAL AND RESEARCH LIMITED,INE0J2K01014,GLHRL,44.82,,,,,44.82,Small Cap
2895,SPARC ELECTREX LIMITED,INE960B01015,SPAR,44.804221,,,,,44.804221,Small Cap
2896,ACCELERATEBS INDIA LIMITED,INE0POP01017,ACCELERATE,44.78,,,,,44.78,Small Cap
2897,SALORA INTERNATIONAL LIMITED,INE924A01013,SALORAINTL,44.49,,,,,44.49,Small Cap
2898,SAMPRE NUTRITIONS LTD.,INE375C01014,SAMPRE,44.49,,,,,44.49,Small Cap
