"Index","symbol","company_Name","is_in_FNO","macro","sector","industry","basic_Industry","last_Price","vwap","total_Market_Cap","free_float","sector_member","date"
"1","20MICRONS","20 Microns Limited","false","Commodities","Metals & Mining","Minerals & Mining","Industrial Minerals","155","155.88","54694.08","30081.74","NIFTY METAL","16FEB2024"
"2","21STCENMGM","21st Century Management Services Limited","false","Financial Services","Financial Services","Capital Markets","Other Capital Market related Services","0","0","5008.5","0","NIFTY FINANCIAL SERVICES","16FEB2024"
"3","360ONE","360 ONE WAM LIMITED","false","Financial Services","Financial Services","Finance","Other Financial Services","695","702.58","2491896.26","797406.8","","16FEB2024"
"4","3IINFOLTD","3i Infotech Limited","false","Information Technology","Information Technology","IT - Software","Computers - Software & Consulting","53.25","53.98","89928.47","80036.34","","16FEB2024"
"5","3MINDIA","3M India Limited","false","Diversified","Diversified","Diversified","Diversified","30855","30950.31","3475837.35","868959.34","NIFTY 500","16FEB2024"
"6","3PLAND","3P Land Holdings Limited","false","Financial Services","Financial Services","Finance","Investment Company","34.15","34.54","6147","1536.75","NIFTY 500","16FEB2024"
"7","5PAISA","5Paisa Capital Limited","false","Financial Services","Financial Services","Capital Markets","Stockbroking & Allied","568","571.55","177095.15","53128.54","NIFTY FINANCIAL SERVICES","16FEB2024"
"8","63MOONS","63 moons technologies limited","false","Information Technology","Information Technology","IT - Software","Computers - Software & Consulting","526.45","524.45","242580.46","130993.45","NIFTY IT","16FEB2024"
"9","A2ZINFRA","A2Z Infra Engineering Limited","false","Industrials","Construction","Construction","Civil Construction","0","0","22543.34","0","NIFTY 500","16FEB2024"
"10","AAATECH","AAA Technologies Limited","false","Information Technology","Information Technology","IT - Services","IT Enabled Services","92.6","92.49","11877.62","3325.73","","16FEB2024"
"11","AAKASH","Aakash Exploration Services Limited","false","Energy","Oil Gas & Consumable Fuels","Oil","Offshore Support Solution Drilling","11.45","0","11593.13","0","","16FEB2024"
"12","AAREYDRUGS","Aarey Drugs & Pharmaceuticals Limited","false","Healthcare","Healthcare","Pharmaceuticals & Biotechnology","Pharmaceuticals","50","50.29","12692.34","6346.17","","16FEB2024"
"13","AARON","Aaron Industries Limited","false","Industrials","Capital Goods","Industrial Manufacturing","Industrial Products","250","247.44","26183.1","6022.11","","16FEB2024"
"14","AARTECH","Aartech Solonics Limited","false","Industrials","Capital Goods","Electrical Equipment","Heavy Electrical Equipment","147.8","145.62","15652.2","7356.54","NA","16FEB2024"
"15","AARTIDRUGS","Aarti Drugs Limited","false","Healthcare","Healthcare","Pharmaceuticals & Biotechnology","Pharmaceuticals","529.3","537.73","486611.95","170314.18","NIFTY PHARMA","16FEB2024"
"16","AARTIIND","Aarti Industries Limited","true","Commodities","Chemicals","Chemicals & Petrochemicals","Specialty Chemicals","694.7","699.79","2518315.53","1385073.54","NIFTY 500","16FEB2024"
"17","AARTIPHARM","Aarti Pharmalabs Limited","false","Healthcare","Healthcare","Pharmaceuticals & Biotechnology","Pharmaceuticals","536.9","542.75","486571.04","257882.65","","16FEB2024"
"18","AARTISURF","Aarti Surfactants Limited","false","Commodities","Chemicals","Chemicals & Petrochemicals","Specialty Chemicals","682","683.57","51726.13","27414.85","","16FEB2024"
"19","AARVEEDEN","Aarvee Denims & Exports Limited","false","Consumer Discretionary","Textiles","Textiles & Apparels","Other Textile Products","36.3","36.57","8515.91","2810.25","NIFTY 500","16FEB2024"
"20","AARVI","Aarvi Encon Limited","false","Services","Services","Commercial Services & Supplies","Diversified Commercial Services","136.15","137.34","20128.42","5233.39","","16FEB2024"
"21","AAVAS","Aavas Financiers Limited","false","Financial Services","Financial Services","Finance","Housing Finance Company","1423","1415.58","1126110.9","664405.43","NIFTY FINANCIAL SERVICES","16FEB2024"
"22","ABAN","Aban Offshore Limited","false","Energy","Oil Gas & Consumable Fuels","Oil","Offshore Support Solution Drilling","79","80.51","46108.61","24437.56","NIFTY 500","16FEB2024"
"23","ABB","ABB India Limited","true","Industrials","Capital Goods","Electrical Equipment","Heavy Electrical Equipment","4516","4518.1","9569782.22","2392445.55","NIFTY INFRASTRUCTURE","16FEB2024"
"24","ABBOTINDIA","Abbott India Limited","true","Healthcare","Healthcare","Pharmaceuticals & Biotechnology","Pharmaceuticals","29461.7","29462.26","4028958.18","1007239.55","NA","16FEB2024"
"25","ABCAPITAL","Aditya Birla Capital Limited","true","Financial Services","Financial Services","Finance","Investment Company","185.7","186.82","4827684.32","1303474.77","NIFTY FINANCIAL SERVICES","16FEB2024"
"26","ABFRL","Aditya Birla Fashion and Retail Limited","true","Consumer Discretionary","Consumer Services","Retailing","Speciality Retail","230.8","234.26","2190631.2","766720.92","NIFTY 500","16FEB2024"
"27","ABMINTLLTD","ABM International Limited","false","Services","Services","Commercial Services & Supplies","Trading & Distributors","57.1","58.18","5371.97","1289.27","","16FEB2024"
"28","ABSLAMC","Aditya Birla Sun Life AMC Limited","false","Financial Services","Financial Services","Capital Markets","Asset Management Company","479.2","478.25","1380516.75","193272.34","","16FEB2024"
"29","ACC","ACC Limited","true","Commodities","Construction Materials","Cement & Cement Products","Cement & Cement Products","2721.5","2717.2","5110630.36","2197571.06","NIFTY COMMODITIES","16FEB2024"
"30","ACCELYA","Accelya Solutions India Limited","false","Information Technology","Information Technology","IT - Software","Computers - Software & Consulting","2000.05","2041.37","298532.68","74633.17","NIFTY IT","16FEB2024"
"31","ACCURACY","Accuracy Shipping Limited","false","Services","Services","Transport Services","Logistics Solution Provider","0","0","21906.48","0","","16FEB2024"
"32","ACE","Action Construction Equipment Limited","false","Industrials","Capital Goods","Agricultural Commercial & Construction Vehicles","Construction Vehicles","1175","1171.79","1399227.55","461745.09","NIFTY 500","16FEB2024"
"33","ACEINTEG","Ace Integrated Solutions Limited","false","Services","Services","Commercial Services & Supplies","Diversified Commercial Services","39.5","39.25","4029","1047.54","","16FEB2024"
"34","ACI","Archean Chemical Industries Limited","false","Commodities","Chemicals","Chemicals & Petrochemicals","Specialty Chemicals","657","648.98","809103.84","331732.57","","16FEB2024"
"35","ACL","Andhra Cements Limited","false","Commodities","Construction Materials","Cement & Cement Products","Cement & Cement Products","118.95","119.75","109638.76","5481.94","","16FEB2024"
"36","ACLGATI","Allcargo Gati Limited","false","Services","Services","Transport Services","Logistics Solution Provider","115.7","116.42","150684.6","64794.38","","16FEB2024"
"37","ADANIENSOL","Adani Energy Solutions Limited","false","Utilities","Power","Power","Power - Transmission","1059.7","1057.2","11820875.96","3191636.51","","16FEB2024"
"38","ADANIENT","Adani Enterprises Limited","true","Commodities","Metals & Mining","Metals & Minerals Trading","Trading - Minerals","3223.2","3221.58","36744516.13","8451238.71","NIFTY 500","16FEB2024"
"39","ADANIGREEN","Adani Green Energy Limited","false","Utilities","Power","Power","Power Generation","1900","1911.15","30096617.08","6922221.93","NIFTY 500","16FEB2024"
"40","ADANIPORTS","Adani Ports and Special Economic Zone Limited","true","Services","Services","Transport Infrastructure","Port & Port services","1310.1","1293.69","28299980.32","9621993.31","NIFTY 500","16FEB2024"
"41","ADANIPOWER","Adani Power Limited","false","Utilities","Power","Power","Integrated Power Utilities","562.95","560.2","21712637.77","5428159.44","NIFTY INFRASTRUCTURE","16FEB2024"
"42","ADFFOODS","ADF Foods Limited","false","Fast Moving Consumer Goods","Fast Moving Consumer Goods","Food Products","Packaged Foods","194.6","194.28","213794.56","72690.15","NIFTY FMCG","16FEB2024"
"43","ADL","Archidply Decor Limited","false","Consumer Discretionary","Consumer Durables","Consumer Durables","Plywood Boards/ Laminates","89.5","91.77","4981.79","1345.08","","16FEB2024"
"44","ADORWELD","Ador Welding Limited","false","Industrials","Capital Goods","Industrial Products","Other Industrial Products","1447.3","1450.31","196810.61","80692.35","NIFTY 500","16FEB2024"
"45","ADROITINFO","Adroit Infotech Limited","false","Information Technology","Information Technology","IT - Services","IT Enabled Services","18.5","0","10021.16","0","NIFTY MEDIA","16FEB2024"
"46","ADSL","Allied Digital Services Limited","false","Information Technology","Information Technology","IT - Services","IT Enabled Services","160.2","161.47","88582.35","41633.71","NIFTY IT","16FEB2024"
"47","ADVANIHOTR","Advani Hotels & Resorts (India) Limited","false","Consumer Discretionary","Consumer Services","Leisure Services","Hotels & Resorts","157.15","158.36","72633.55","14526.71","NIFTY SERVICES SECTOR","16FEB2024"
"48","ADVENZYMES","Advanced Enzyme Technologies Limited","false","Healthcare","Healthcare","Pharmaceuticals & Biotechnology","Biotechnology","409","413.58","457360.47","182944.19","NIFTY 500","16FEB2024"
"49","AEGISCHEM","Aegis Logistics Limited","false","Energy","Oil Gas & Consumable Fuels","Gas","Trading - Gas","433.35","451.39","1521058.5","547581.06","NIFTY 500","16FEB2024"
"50","AEROFLEX","Aeroflex Industries Limited","false","Industrials","Capital Goods","Industrial Products","Iron & Steel Products","152.1","152.67","196696.28","41306.22","NA","16FEB2024"
"51","AETHER","Aether Industries Limited","false","Commodities","Chemicals","Chemicals & Petrochemicals","Specialty Chemicals","863","866.34","1143908.86","205903.59","","16FEB2024"
"52","AFFLE","Affle (India) Limited","false","Information Technology","Information Technology","IT - Services","IT Enabled Services","1162.5","1175.17","1629488.57","700680.09","","16FEB2024"
"53","AGARIND","Agarwal Industrial Corporation Limited","false","Commodities","Chemicals","Chemicals & Petrochemicals","Petrochemicals","1015","1003.71","151821.56","59210.41","NIFTY INFRASTRUCTURE","16FEB2024"
"54","AGI","AGI Greenpac Limited","false","Industrials","Capital Goods","Industrial Products","Packaging","772.1","770.03","499528.48","194816.11","","16FEB2024"
"55","AGRITECH","Agri-Tech (India) Limited","false","Fast Moving Consumer Goods","Fast Moving Consumer Goods","Agricultural Food & other Products","Other Agricultural Products","199.4","195.97","11844.36","8172.61","NIFTY 500","16FEB2024"
"56","AGROPHOS","Agro Phos India Limited","false","Commodities","Chemicals","Fertilizers & Agrochemicals","Fertilizers","49.25","49.87","9985","4493.25","NIFTY 500","16FEB2024"
"57","AGSTRA","AGS Transact Technologies Limited","false","Financial Services","Financial Services","Financial Technology (Fintech)","Financial Technology (Fintech)","94","95.73","114118.89","38800.42","","16FEB2024"
"58","AHL","Abans Holdings Limited","false","Financial Services","Financial Services","Finance","Holding Company","314.6","320.24","157759.16","44172.56","","16FEB2024"
"59","AHLADA","Ahlada Engineers Limited","false","Consumer Discretionary","Consumer Durables","Consumer Durables","Furniture Home Furnishing","133.05","136.03","17191.39","6876.56","","16FEB2024"
"60","AHLEAST","Asian Hotels (East) Limited","false","Consumer Discretionary","Consumer Services","Leisure Services","Hotels & Resorts","157","153.5","27147.96","8958.83","NIFTY SERVICES SECTOR","16FEB2024"
"61","AHLUCONT","Ahluwalia Contracts (India) Limited","false","Industrials","Construction","Construction","Civil Construction","1015.05","1015.19","679957.23","305980.75","NIFTY REALTY","16FEB2024"
"62","AIAENG","AIA Engineering Limited","false","Industrials","Capital Goods","Industrial Products","Castings & Forgings","3835.25","3854.46","3617421.99","1519317.24","NIFTY INFRASTRUCTURE","16FEB2024"
"63","AIRAN","Airan Limited","false","Information Technology","Information Technology","IT - Services","IT Enabled Services","28.5","28.78","35630.7","9976.6","","16FEB2024"
"64","AIROLAM","Airo Lam limited","false","Consumer Discretionary","Consumer Durables","Consumer Durables","Plywood Boards/ Laminates","163","160","24453.26","11493.03","","16FEB2024"
"65","AJANTPHARM","Ajanta Pharma Limited","false","Healthcare","Healthcare","Pharmaceuticals & Biotechnology","Pharmaceuticals","2150","2177.42","2707186.58","920443.44","NIFTY PHARMA","16FEB2024"
"66","AJMERA","Ajmera Realty & Infra India Limited","false","Consumer Discretionary","Realty","Realty","Residential Commercial Projects","725","727.96","257265.34","59171.03","NIFTY REALTY","16FEB2024"
"67","AJOONI","Ajooni Biotech Limited","false","Fast Moving Consumer Goods","Fast Moving Consumer Goods","Food Products","Animal Feed","6.9","6.84","6045.35","4413.1","","16FEB2024"
"68","AKASH","Akash Infra-Projects Limited","false","Industrials","Construction","Construction","Civil Construction","37","37.03","6239.14","1559.78","","16FEB2024"
"69","AKG","Akg Exim Limited","false","Services","Services","Commercial Services & Supplies","Trading & Distributors","23.5","23.68","7467.5","3136.35","","16FEB2024"
"70","AKI","AKI India Limited","false","Consumer Discretionary","Consumer Durables","Consumer Durables","Leather And Leather Products","27.6","28.49","18472.82","5726.57","","16FEB2024"
"71","AKSHAR","Akshar Spintex Limited","false","Consumer Discretionary","Textiles","Textiles & Apparels","Other Textile Products","3.9","3.89","11699.53","6083.76","","16FEB2024"
"72","AKSHARCHEM","AksharChem India Limited","false","Commodities","Chemicals","Chemicals & Petrochemicals","Dyes And Pigments","263.95","264.85","21203.36","7633.21","NIFTY 500","16FEB2024"
"73","AKSHOPTFBR","Aksh Optifibre Limited","false","Telecommunication","Telecommunication","Telecom - Equipment & Accessories","Telecom - Equipment & Accessories","11.85","11.82","19279.71","14074.19","NIFTY 500","16FEB2024"
"74","AKZOINDIA","Akzo Nobel India Limited","false","Consumer Discretionary","Consumer Durables","Consumer Durables","Paints","2834.7","2853.95","1290931.28","258186.26","NIFTY 500","16FEB2024"
"75","ALANKIT","Alankit Limited","false","Services","Services","Commercial Services & Supplies","Diversified Commercial Services","17.9","0","40195.9","0","NIFTY 500","16FEB2024"
"76","ALBERTDAVD","Albert David Limited","false","Healthcare","Healthcare","Pharmaceuticals & Biotechnology","Pharmaceuticals","1407","1410.61","80299.77","29710.91","NIFTY PHARMA","16FEB2024"
"77","ALEMBICLTD","Alembic Limited","false","Consumer Discretionary","Realty","Realty","Residential Commercial Projects","102","102.18","261917.46","68098.54","NIFTY PHARMA","16FEB2024"
"78","ALICON","Alicon Castalloy Limited","false","Consumer Discretionary","Automobile and Auto Components","Auto Components","Auto Components & Equipments","923.25","925.41","148752.56","38675.67","NIFTY METAL","16FEB2024"
"79","ALKALI","Alkali Metals Limited","false","Commodities","Chemicals","Chemicals & Petrochemicals","Specialty Chemicals","122.4","124.79","12463.39","3739.02","NIFTY 500","16FEB2024"
"80","ALKEM","Alkem Laboratories Limited","true","Healthcare","Healthcare","Pharmaceuticals & Biotechnology","Pharmaceuticals","5442","5396.97","6506727.3","2732825.47","NIFTY PHARMA","16FEB2024"
"81","ALKYLAMINE","Alkyl Amines Chemicals Limited","false","Commodities","Chemicals","Chemicals & Petrochemicals","Specialty Chemicals","2226.2","2228.02","1138054.77","307274.79","NIFTY 500","16FEB2024"
"82","ALLCARGO","Allcargo Logistics Limited","false","Services","Services","Transport Services","Logistics Solution Provider","76.2","76.07","748879.96","224663.99","NIFTY INFRASTRUCTURE","16FEB2024"
"83","ALLSEC","Allsec Technologies Limited","false","Services","Services","Commercial Services & Supplies","Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)","780.1","776.39","118874.18","32096.03","NIFTY IT","16FEB2024"
"84","ALMONDZ","Almondz Global Securities Limited","false","Financial Services","Financial Services","Capital Markets","Stockbroking & Allied","115","117.45","30831.46","11715.96","NIFTY FINANCIAL SERVICES","16FEB2024"
"85","ALOKINDS","Alok Industries Limited","false","Consumer Discretionary","Textiles","Textiles & Apparels","Other Textile Products","29.15","29.28","1447367.58","361841.89","","16FEB2024"
"86","ALPA","Alpa Laboratories Limited","false","Healthcare","Healthcare","Pharmaceuticals & Biotechnology","Pharmaceuticals","103.5","104.33","21777.02","9364.12","NIFTY PHARMA","16FEB2024"
"87","ALPHAGEO","Alphageo (India) Limited","false","Energy","Oil Gas & Consumable Fuels","Oil","Offshore Support Solution Drilling","361.1","360.94","22983.17","11951.25","NIFTY 500","16FEB2024"
"88","ALPSINDUS","Alps Industries Limited","false","Consumer Discretionary","Textiles","Textiles & Apparels","Other Textile Products","2.4","0","938.74","0","NIFTY 500","16FEB2024"
"89","AMBER","Amber Enterprises India Limited","false","Consumer Discretionary","Consumer Durables","Consumer Durables","Household Appliances","3962.1","3999.58","1334979.32","720888.83","NIFTY 500","16FEB2024"
"90","AMBICAAGAR","Ambica Agarbathies & Aroma industries Limited","false","Fast Moving Consumer Goods","Fast Moving Consumer Goods","Household Products","Household Products","34.9","35.28","5994.91","3297.2","","16FEB2024"
"91","AMBIKCO","Ambika Cotton Mills Limited","false","Consumer Discretionary","Textiles","Textiles & Apparels","Other Textile Products","1640.15","1648.47","93898.59","46010.31","NIFTY 500","16FEB2024"
"92","AMBUJACEM","Ambuja Cements Limited","true","Commodities","Construction Materials","Cement & Cement Products","Cement & Cement Products","584.5","582.51","11606096.36","4294255.65","NIFTY COMMODITIES","16FEB2024"
"93","AMDIND","AMD Industries Limited","false","Industrials","Capital Goods","Industrial Products","Packaging","66.6","67.38","12765.05","4212.47","NIFTY 500","16FEB2024"
"94","AMIORG","Ami Organics Limited","false","Healthcare","Healthcare","Pharmaceuticals & Biotechnology","Pharmaceuticals","1097.8","1096.9","404874.81","165998.67","","16FEB2024"
"95","AMJLAND","Amj Land Holdings Limited","false","Consumer Discretionary","Realty","Realty","Residential Commercial Projects","39.15","40.53","16051.5","5296.99","NIFTY 500","16FEB2024"
"96","AMNPLST","Amines & Plasticizers Limited","false","Commodities","Chemicals","Chemicals & Petrochemicals","Commodity Chemicals","194","198.18","106738.8","26684.7","NA","16FEB2024"
"97","AMRUTANJAN","Amrutanjan Health Care Limited","false","Healthcare","Healthcare","Pharmaceuticals & Biotechnology","Pharmaceuticals","655","660","189364.63","90895.02","NIFTY PHARMA","16FEB2024"
"98","ANANDRATHI","Anand Rathi Wealth Limited","false","Financial Services","Financial Services","Capital Markets","Financial Products Distributor","3601","3620.06","1506236.97","632619.53","","16FEB2024"
"99","ANANTRAJ","Anant Raj Limited","false","Consumer Discretionary","Realty","Realty","Residential Commercial Projects","353.1","351.33","1204029.43","469571.48","NIFTY REALTY","16FEB2024"
"100","ANDHRAPAP","ANDHRA PAPER LIMITED","false","Commodities","Forest Materials","Paper Forest & Jute Products","Paper & Paper Products","531","533.83","211178.91","57018.3","","16FEB2024"
"101","ANDHRSUGAR","The Andhra Sugars Limited","false","Commodities","Chemicals","Chemicals & Petrochemicals","Commodity Chemicals","108.4","107.99","146920.36","76398.59","NIFTY 500","16FEB2024"
"102","ANGELONE","Angel One Limited","false","Financial Services","Financial Services","Capital Markets","Stockbroking & Allied","3267","3274.69","2742872.64","1673152.31","","16FEB2024"
"103","ANIKINDS","Anik Industries Limited","false","Services","Services","Commercial Services & Supplies","Trading & Distributors","49.5","0","13737.98","0","NIFTY 500","16FEB2024"
"104","ANKITMETAL","Ankit Metal & Power Limited","false","Commodities","Metals & Mining","Ferrous Metals","Iron & Steel","0","0","5997.2","0","NIFTY METAL","16FEB2024"
"105","ANMOL","Anmol India Limited","false","Energy","Oil Gas & Consumable Fuels","Consumable Fuels","Trading - Coal","55.4","55.62","31530.44","13558.09","","16FEB2024"
"106","ANTGRAPHIC","Antarctica Limited","false","Industrials","Capital Goods","Industrial Products","Packaging","0","0","2325.14","0","NIFTY 500","16FEB2024"
"107","ANUP","The Anup Engineering Limited","false","Industrials","Capital Goods","Industrial Manufacturing","Industrial Products","2912.1","2910.04","288622.6","164514.88","NIFTY INFRASTRUCTURE","16FEB2024"
"108","ANURAS","Anupam Rasayan India Limited","false","Commodities","Chemicals","Chemicals & Petrochemicals","Specialty Chemicals","902.35","907.08","990085.62","207917.98","","16FEB2024"
"109","APARINDS","Apar Industries Limited","false","Industrials","Capital Goods","Electrical Equipment","Other Electrical Equipment","6150","6132.96","2470351.37","1037547.58","NIFTY 500","16FEB2024"
"110","APCL","Anjani Portland Cement Limited","false","Commodities","Construction Materials","Cement & Cement Products","Cement & Cement Products","216.1","216.62","63478.87","15234.93","NIFTY COMMODITIES","16FEB2024"
"111","APCOTEXIND","Apcotex Industries Limited","false","Industrials","Capital Goods","Industrial Products","Rubber","476.9","471.9","247248.61","101371.93","NIFTY 500","16FEB2024"
"112","APEX","Apex Frozen Foods Limited","false","Fast Moving Consumer Goods","Fast Moving Consumer Goods","Food Products","Seafood","225.2","222.51","70375","19001.25","NIFTY FMCG","16FEB2024"
"113","APLAPOLLO","APL Apollo Tubes Limited","false","Industrials","Capital Goods","Industrial Products","Iron & Steel Products","1428.7","1436.14","3964993.45","2537595.81","NIFTY METAL","16FEB2024"
"114","APLLTD","Alembic Pharmaceuticals Limited","false","Healthcare","Healthcare","Pharmaceuticals & Biotechnology","Pharmaceuticals","999.9","1002.21","1965434.68","550321.71","NIFTY PHARMA","16FEB2024"
"115","APOLLO","Apollo Micro Systems Limited","false","Industrials","Capital Goods","Aerospace & Defense","Aerospace & Defense","121.5","121.43","343066.01","102919.8","NIFTY 500","16FEB2024"
"116","APOLLOHOSP","Apollo Hospitals Enterprise Limited","true","Healthcare","Healthcare","Healthcare Services","Hospital","6600","6570.55","9489787.36","6642851.15","NIFTY PHARMA","16FEB2024"
"117","APOLLOPIPE","Apollo Pipes Limited","false","Industrials","Capital Goods","Industrial Products","Plastic Products - Industrial","768.5","770.68","302429.39","148190.4","","16FEB2024"
"118","APOLLOTYRE","Apollo Tyres Limited","true","Consumer Discretionary","Automobile and Auto Components","Auto Components","Tyres & Rubber Products","528","528.25","3353332.99","1743733.16","NIFTY AUTO","16FEB2024"
"119","APOLSINHOT","Apollo Sindoori Hotels Limited","false","Consumer Discretionary","Consumer Services","Leisure Services","Hotels & Resorts","2125","2157.55","55258.5","16024.97","NIFTY SERVICES SECTOR","16FEB2024"
"120","APTECHT","Aptech Limited","false","Consumer Discretionary","Consumer Services","Other Consumer Services","Education","246.4","243.4","142963.58","71481.79","NIFTY IT","16FEB2024"
"121","APTUS","Aptus Value Housing Finance India Limited","false","Financial Services","Financial Services","Finance","Housing Finance Company","354.45","357.02","1768436.12","672005.73","","16FEB2024"
"122","ARCHIDPLY","Archidply Industries Limited","false","Consumer Discretionary","Consumer Durables","Consumer Durables","Plywood Boards/ Laminates","95.7","95.65","19010.81","5703.24","NIFTY 500","16FEB2024"
"123","ARCHIES","Archies Limited","false","Consumer Discretionary","Consumer Durables","Consumer Durables","Leisure Products","34.55","34.19","11670.99","4318.27","NIFTY MEDIA","16FEB2024"
"124","ARE&M","Amara Raja Energy & Mobility Limited","false","Consumer Discretionary","Automobile and Auto Components","Auto Components","Auto Components & Equipments","861.5","868.02","1471549.69","1059515.77","","16FEB2024"
"125","ARENTERP","Rajdarshan Industries Limited","false","Services","Services","Commercial Services & Supplies","Trading & Distributors","48.95","48.36","1521.51","547.74","NIFTY METAL","16FEB2024"
"126","ARIES","Aries Agro Limited","false","Commodities","Chemicals","Fertilizers & Agrochemicals","Fertilizers","304","298.95","39533.19","18185.27","NIFTY 500","16FEB2024"
"127","ARIHANTCAP","Arihant Capital Markets Limited","false","Financial Services","Financial Services","Capital Markets","Stockbroking & Allied","70.6","72.09","73503.64","19845.98","","16FEB2024"
"128","ARIHANTSUP","Arihant Superstructures Limited","false","Consumer Discretionary","Realty","Realty","Residential Commercial Projects","369","367.88","151880.37","37970.09","NIFTY REALTY","16FEB2024"
"129","ARMANFIN","Arman Financial Services Limited","false","Financial Services","Financial Services","Finance","Non Banking Financial Company (NBFC)","2321","2325.89","227164.3","134026.94","NIFTY FINANCIAL SERVICES","16FEB2024"
"130","AROGRANITE","Aro Granite Industries Limited","false","Consumer Discretionary","Consumer Durables","Consumer Durables","Granites & Marbles","55.05","55.13","8422.65","4885.14","NIFTY 500","16FEB2024"
"131","ARROWGREEN","Arrow Greentech Limited","false","Industrials","Capital Goods","Industrial Products","Packaging","415.5","418.59","62690.38","18807.11","NIFTY 500","16FEB2024"
"132","ARSHIYA","Arshiya Limited","false","Services","Services","Transport Services","Logistics Solution Provider","0","0","22131.98","0","NIFTY INFRASTRUCTURE","16FEB2024"
"133","ARTEMISMED","Artemis Medicare Services Limited","false","Healthcare","Healthcare","Healthcare Services","Hospital","176.4","175.06","239657.92","55121.32","","16FEB2024"
"134","ARTNIRMAN","Art Nirman Limited","false","Consumer Discretionary","Realty","Realty","Residential Commercial Projects","72.6","72.68","18118.06","4710.69","","16FEB2024"
"135","ARVEE","Arvee Laboratories (India) Limited","false","Commodities","Chemicals","Chemicals & Petrochemicals","Specialty Chemicals","136.65","140.1","15058.83","3915.3","","16FEB2024"
"136","ARVIND","Arvind Limited","false","Consumer Discretionary","Textiles","Textiles & Apparels","Garments & Apparels","311","306.54","813670.77","471929.05","NIFTY 500","16FEB2024"
"137","ARVINDFASN","Arvind Fashions Limited","false","Consumer Discretionary","Consumer Services","Retailing","Speciality Retail","458.9","466.84","610046.35","329425.03","NIFTY 500","16FEB2024"
"138","ARVSMART","Arvind SmartSpaces Limited","false","Consumer Discretionary","Realty","Realty","Residential Commercial Projects","568.5","563.48","257598.6","108191.41","NIFTY INFRASTRUCTURE","16FEB2024"
"139","ASAHIINDIA","Asahi India Glass Limited","false","Consumer Discretionary","Automobile and Auto Components","Auto Components","Auto Components & Equipments","542.9","545.38","1319735.24","593880.86","NIFTY AUTO","16FEB2024"
"140","ASAHISONG","Asahi Songwon Colors Limited","false","Commodities","Chemicals","Chemicals & Petrochemicals","Dyes And Pigments","308","307.66","36304.77","9439.24","NIFTY 500","16FEB2024"
"141","ASAL","Automotive Stampings and Assemblies Limited","false","Consumer Discretionary","Automobile and Auto Components","Auto Components","Auto Components & Equipments","587.6","594.31","93219.2","23304.8","NIFTY 500","16FEB2024"
"142","ASALCBR","Associated Alcohols & Breweries Ltd.","false","Fast Moving Consumer Goods","Fast Moving Consumer Goods","Beverages","Breweries & Distilleries","469.5","472.92","84881.84","33952.74","","16FEB2024"
"143","ASHAPURMIN","Ashapura Minechem Limited","false","Commodities","Metals & Mining","Minerals & Mining","Industrial Minerals","356","359.41","325690.51","179129.78","NIFTY METAL","16FEB2024"
"144","ASHIANA","Ashiana Housing Limited","false","Consumer Discretionary","Realty","Realty","Residential Commercial Projects","304.9","305.84","306500.29","107275.1","NIFTY REALTY","16FEB2024"
"145","ASHIMASYN","Ashima Limited","false","Consumer Discretionary","Textiles","Textiles & Apparels","Other Textile Products","22.25","22.45","42644.37","11087.54","NIFTY 500","16FEB2024"
"146","ASHOKA","Ashoka Buildcon Limited","false","Industrials","Construction","Construction","Civil Construction","174.5","176.58","489862.01","225336.53","NIFTY INFRASTRUCTURE","16FEB2024"
"147","ASHOKAMET","Ashoka Metcast Limited","false","Commodities","Metals & Mining","Metals & Minerals Trading","Trading - Metals","25.6","25.74","6398.98","2303.63","NA","16FEB2024"
"148","ASHOKLEY","Ashok Leyland Limited","true","Industrials","Capital Goods","Agricultural Commercial & Construction Vehicles","Commercial Vehicles","174.05","175.13","5110329.52","2504061.47","NIFTY 500","16FEB2024"
"149","ASIANENE","Asian Energy Services Limited","false","Energy","Oil Gas & Consumable Fuels","Oil","Oil Equipment & Services","316","315.54","123298.65","43154.53","","16FEB2024"
"150","ASIANHOTNR","Asian Hotels (North) Limited","false","Consumer Discretionary","Consumer Services","Leisure Services","Hotels & Resorts","137.15","138.87","26680.1","10938.84","NIFTY SERVICES SECTOR","16FEB2024"
"151","ASIANPAINT","Asian Paints Limited","true","Consumer Discretionary","Consumer Durables","Consumer Durables","Paints","3007","3020.32","28843077.55","13556246.45","NIFTY 500","16FEB2024"
"152","ASIANTILES","Asian Granito India Limited","false","Consumer Discretionary","Consumer Durables","Consumer Durables","Ceramics","65","64.69","82384.46","56021.43","NIFTY 500","16FEB2024"
"153","ASKAUTOLTD","ASK Automotive Limited","false","Consumer Discretionary","Automobile and Auto Components","Auto Components","Auto Components & Equipments","302.3","303.37","595962.08","65555.83","NA","16FEB2024"
"154","ASMS","Bartronics India Limited","false","Information Technology","Information Technology","IT - Services","IT Enabled Services","27.55","27.58","83910.89","8391.09","","16FEB2024"
"155","ASPINWALL","Aspinwall and Company Limited","false","Services","Services","Transport Services","Logistics Solution Provider","274.1","272.07","21429.93","6857.58","NIFTY 500","16FEB2024"
