"Index","symbol","company_Name","is_in_FNO","macro","sector","industry","basic_Industry","last_Price","vwap","total_Market_Cap","free_float","sector_member","date"
"1808","UNIVPHOTO","Universus Photo Imagings Limited","false","Fast Moving Consumer Goods","Fast Moving Consumer Goods","Household Products","Household Products","408","405.89","44662.14","11165.54","","16FEB2024"
"1809","UNOMINDA","UNO Minda Limited","false","Consumer Discretionary","Automobile and Auto Components","Auto Components","Auto Components & Equipments","652","642.18","3743331.81","1160432.86","","16FEB2024"
"1810","UPL","UPL Limited","true","Commodities","Chemicals","Fertilizers & Agrochemicals","Pesticides & Agrochemicals","490.4","490.27","3680979.87","2466256.51","NIFTY 500","16FEB2024"
"1811","URAVI","Uravi T and Wedge Lamps Limited","false","Consumer Discretionary","Automobile and Auto Components","Auto Components","Auto Components & Equipments","290","289.59","31900","8613","NA","16FEB2024"
"1812","URJA","Urja Global Limited","false","Industrials","Capital Goods","Electrical Equipment","Heavy Electrical Equipment","26.4","27.4","138719.69","110975.75","NIFTY 500","16FEB2024"
"1813","USHAMART","Usha Martin Limited","false","Industrials","Capital Goods","Industrial Products","Iron & Steel Products","317","316.92","966031.44","511996.66","NIFTY METAL","16FEB2024"
"1814","USK","Udayshivakumar Infra Limited","false","Industrials","Construction","Construction","Civil Construction","65.25","67.57","36120.54","12280.98","","16FEB2024"
"1815","UTIAMC","UTI Asset Management Company Limited","false","Financial Services","Financial Services","Capital Markets","Asset Management Company","909.85","911.53","1157756.23","370481.99","","16FEB2024"
"1816","UTKARSHBNK","Utkarsh Small Finance Bank Limited","false","Financial Services","Financial Services","Banks","Other Bank","56.7","56.79","622868.77","93430.32","NA","16FEB2024"
"1817","UTTAMSUGAR","Uttam Sugar Mills Limited","false","Fast Moving Consumer Goods","Fast Moving Consumer Goods","Agricultural Food & other Products","Sugar","354","356.75","135008.94","36452.42","NIFTY FMCG","16FEB2024"
"1818","V2RETAIL","V2 Retail Limited","false","Consumer Discretionary","Consumer Services","Retailing","Speciality Retail","371","377.43","128326.46","56463.64","NIFTY 500","16FEB2024"
"1819","VADILALIND","Vadilal Industries Limited","false","Fast Moving Consumer Goods","Fast Moving Consumer Goods","Food Products","Dairy Products","3830","3798.32","275293.89","93599.92","NIFTY FMCG","16FEB2024"
"1820","VAIBHAVGBL","Vaibhav Global Limited","false","Consumer Discretionary","Consumer Durables","Consumer Durables","Gems Jewellery And Watches","474.6","476.58","785849.21","259330.24","NIFTY 500","16FEB2024"
"1821","VAISHALI","Vaishali Pharma Limited","false","Healthcare","Healthcare","Pharmaceuticals & Biotechnology","Pharmaceuticals","163.4","163.69","17314.21","12639.37","","16FEB2024"
"1822","VAKRANGEE","Vakrangee Limited","false","Information Technology","Information Technology","IT - Services","IT Enabled Services","24.95","25.06","264348.57","150678.68","NIFTY IT","16FEB2024"
"1823","VALIANTLAB","Valiant Laboratories Limited","false","Healthcare","Healthcare","Pharmaceuticals & Biotechnology","Pharmaceuticals","179","180.28","77775.5","13999.59","NA","16FEB2024"
"1824","VALIANTORG","Valiant Organics Limited","false","Commodities","Chemicals","Chemicals & Petrochemicals","Specialty Chemicals","446.3","443.75","123067.44","52919","","16FEB2024"
"1825","VARDHACRLC","Vardhman Acrylics Limited","false","Consumer Discretionary","Textiles","Textiles & Apparels","Other Textile Products","70.45","70.9","56616.26","14154.06","NIFTY 500","16FEB2024"
"1826","VARDMNPOLY","Vardhman Polytex Limited","false","Consumer Discretionary","Textiles","Textiles & Apparels","Other Textile Products","69.95","70.47","19090.02","6108.81","NIFTY 500","16FEB2024"
"1827","VARROC","Varroc Engineering Limited","false","Consumer Discretionary","Automobile and Auto Components","Auto Components","Auto Components & Equipments","526.55","521.46","804496.79","201124.2","NIFTY AUTO","16FEB2024"
"1828","VASCONEQ","Vascon Engineers Limited","false","Industrials","Construction","Construction","Civil Construction","79.2","79.34","175283.15","106922.72","NIFTY REALTY","16FEB2024"
"1829","VASWANI","Vaswani Industries Limited","false","Commodities","Metals & Mining","Ferrous Metals","Sponge Iron","37.5","38.15","11250","4725","NIFTY METAL","16FEB2024"
"1830","VBL","Varun Beverages Limited","false","Fast Moving Consumer Goods","Fast Moving Consumer Goods","Beverages","Other Beverages","1422","1417.65","18476756.47","6836399.9","NIFTY FMCG","16FEB2024"
"1831","VCL","Vaxtex Cotfab Limited","false","Consumer Discretionary","Textiles","Textiles & Apparels","Garments & Apparels","1.4","1.38","2572.53","1749.32","","16FEB2024"
"1832","VEDL","Vedanta Limited","true","Commodities","Metals & Mining","Diversified Metals","Diversified Metals","266","268.35","9887768.6","3559596.69","NIFTY 500","16FEB2024"
"1833","VENKEYS","Venky's (India) Limited","false","Fast Moving Consumer Goods","Fast Moving Consumer Goods","Food Products","Meat Products including Poultry","1741.2","1737.43","245288.69","80945.27","NIFTY FMCG","16FEB2024"
"1834","VENUSPIPES","Venus Pipes & Tubes Limited","false","Industrials","Capital Goods","Industrial Products","Iron & Steel Products","1699","1658.33","344830.91","175863.76","","16FEB2024"
"1835","VENUSREM","Venus Remedies Limited","false","Healthcare","Healthcare","Pharmaceuticals & Biotechnology","Pharmaceuticals","364.9","365.23","48776.14","27802.4","NIFTY PHARMA","16FEB2024"
"1836","VERANDA","Veranda Learning Solutions Limited","false","Consumer Discretionary","Consumer Services","Other Consumer Services","E-Learning","226","228.21","156386.45","56299.12","","16FEB2024"
"1837","VERTOZ","Vertoz Advertising Limited","false","Consumer Discretionary","Media Entertainment & Publication","Media","Advertising & Media Agencies","762","773.75","120957.56","39915.99","","16FEB2024"
"1838","VESUVIUS","Vesuvius India Limited","false","Industrials","Capital Goods","Industrial Products","Electrodes & Refractories","3648.65","3683.81","740532.92","325834.49","NIFTY METAL","16FEB2024"
